
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.5)

2026-07-29 01:16:31.782 INFO  [main] com.retailzw.RetailSaasApplication - Starting RetailSaasApplication v1.0.0 using Java 17.0.11 with PID 10772 (C:\Users\talen\Desktop\JAVA PROJECTS\retailzim_software\backend\target\retail-saas-backend-1.0.0-exec.jar started by talen in C:\Users\talen\Desktop\JAVA PROJECTS\retailzim_software\backend)
2026-07-29 01:16:31.792 INFO  [main] com.retailzw.RetailSaasApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-29 01:16:37.056 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-29 01:16:38.095 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1022 ms. Found 67 JPA repository interfaces.
2026-07-29 01:16:41.848 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-29 01:16:41.868 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-29 01:16:41.869 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-07-29 01:16:42.008 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-29 01:16:42.009 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9918 ms
2026-07-29 01:16:43.242 INFO  [main] com.zaxxer.hikari.HikariDataSource - RetailZW-HikariPool - Starting...
2026-07-29 01:16:43.701 INFO  [main] com.zaxxer.hikari.pool.HikariPool - RetailZW-HikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@5d9d8e46
2026-07-29 01:16:43.704 INFO  [main] com.zaxxer.hikari.HikariDataSource - RetailZW-HikariPool - Start completed.
2026-07-29 01:16:43.971 INFO  [main] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-07-29 01:16:43.973 INFO  [main] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-07-29 01:16:43.974 INFO  [main] o.f.c.i.license.VersionPrinter - 
2026-07-29 01:16:44.014 INFO  [main] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/retail_zw (MySQL 8.0)
2026-07-29 01:16:44.117 INFO  [main] o.f.core.internal.command.DbValidate - Successfully validated 43 migrations (execution time 00:00.076s)
2026-07-29 01:16:44.138 INFO  [main] o.f.core.internal.command.DbMigrate - Current version of schema `retail_zw`: 42
2026-07-29 01:16:44.162 INFO  [main] o.f.core.internal.command.DbMigrate - Migrating schema `retail_zw` to version "43 - enforce gas tank weight invariants"
