2026-06-26 15:50:28.117 INFO  [main] com.retailzw.RetailSaasApplication - Starting RetailSaasApplication using Java 17.0.12 with PID 31392 (C:\Users\talen\OneDrive\Desktop\JAVA PROJECTS\retail_software\backend\target\classes started by talen in C:\Users\talen\OneDrive\Desktop\JAVA PROJECTS\retail_software\backend)
2026-06-26 15:50:28.135 INFO  [main] com.retailzw.RetailSaasApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-26 15:50:31.819 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-26 15:50:32.549 INFO  [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 706 ms. Found 59 JPA repository interfaces.
2026-06-26 15:50:35.013 INFO  [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-26 15:50:35.051 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-26 15:50:35.052 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-26 15:50:35.264 INFO  [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-26 15:50:35.266 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6977 ms
2026-06-26 15:50:36.071 INFO  [main] com.zaxxer.hikari.HikariDataSource - RetailZW-HikariPool - Starting...
2026-06-26 15:50:36.555 INFO  [main] com.zaxxer.hikari.pool.HikariPool - RetailZW-HikariPool - Added connection com.mysql.cj.jdbc.ConnectionImpl@19ec5357
2026-06-26 15:50:36.561 INFO  [main] com.zaxxer.hikari.HikariDataSource - RetailZW-HikariPool - Start completed.
2026-06-26 15:50:36.864 INFO  [main] org.flywaydb.core.internal.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-06-26 15:50:36.865 INFO  [main] org.flywaydb.core.internal.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-06-26 15:50:36.865 INFO  [main] org.flywaydb.core.internal.license.VersionPrinter - 
2026-06-26 15:50:36.922 INFO  [main] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/retail_zw (MySQL 8.0)
2026-06-26 15:50:37.174 INFO  [main] org.flywaydb.core.internal.command.DbValidate - Successfully validated 31 migrations (execution time 00:00.209s)
2026-06-26 15:50:37.206 INFO  [main] org.flywaydb.core.internal.command.DbMigrate - Current version of schema `retail_zw`: 30
2026-06-26 15:50:37.261 INFO  [main] org.flywaydb.core.internal.command.DbMigrate - Migrating schema `retail_zw` to version "31 - business modules and gas core"
2026-06-26 15:50:37.314 WARN  [main] o.f.c.internal.sqlscript.DefaultSqlScriptExecutor - DB: PROCEDURE retail_zw.add_column_if_missing does not exist (SQL State: 42000 - Error Code: 1305)
2026-06-26 15:50:40.324 INFO  [main] org.flywaydb.core.internal.command.DbMigrate - Successfully applied 1 migration to schema `retail_zw`, now at version v31 (execution time 00:03.017s)
2026-06-26 15:50:40.580 INFO  [main] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-26 15:50:40.740 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-26 15:50:40.871 INFO  [main] o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-26 15:50:41.618 INFO  [main] o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
